Term"	"曜日/
Day of Week"	"時限/
Period"	Online	"Zoom 
MTG ID "	"教室/
Classroom"	"講義CD/
Subject CD"	講義名	Subject Name	担当教員	Instructor	"言語/
Semester	月/Mon.	1			F105	030716JB	金融市場と金融制度JB	Financial Market and InstitutionsJB	川添 敬	KAWAZOE Satoshi	J	5	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	1			H101	037135JA	観光・ホスピタリティと法JA	Tourism and Hospitality LawJA	劉 明	RYU Min	J	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester	月/Mon.	1			FⅡ220	037137EA	健康とウェルネスツーリズムEA	Health and Wellness TourismEA	MEIRMANOV Serik	MEIRMANOV Serik	E	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
1Q	月/Mon.	1			F106	021012JA	アジア太平洋の地理JA	Geography of the Asia PacificJA	小山 拓志	KOYAMA Takushi	J	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	1			F201	021017EA	アジア太平洋の歴史EA	History of the Asia PacificEA	HAO Xiaoyang	HAO Xiaoyang	E	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	1			J103	027020EA	ネゴシエーションスキルEA	Negotiation SkillsEA	HOOI Carol Lai-Wan	HOOI Carol Lai-Wan	E	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	1			F202	030035JA	社会階層論JA	Social StratificationJA	児島 真爾	KOJIMA Shinji	J	3	専門/Major	APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q	月/Mon.	1			F204	030192JA	国際問題と政策JA	Global Issues and PoliciesJA	綛田 芳憲	KASEDA Yoshinori	J	3	専門/Major	APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)
1Q	月/Mon.	1			FⅡ121	030550EE	特殊講義（専門教育科目）EE	Special Lecture(Asia Pacific Studies)EE	岡村 善文	OKAMURA Yoshifumi	E	3	専門/Major	APS専門教育科目APS Major Education Subjects 
1Q	月/Mon.	1			F203	033023EA	販売・プロモーションマネジメントEA	Promotion and Sales ManagementEA	CHEN Shu-Ching	CHEN Shu-Ching	E	3	他学部/Other College	他学部科目Other College Subjects
2Q	月/Mon.	1			T.B.A.	027009JA	ロジカルシンキングとフレームワークJA	Logical Thinking and FrameworkJA	煤田 徳東	SUSUDA Yoshihide	J	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
